2.02E-02	2.30E-02
2.33E-02	2.46E-02
2.65E-02	2.62E-02
3.02E-02	2.83E-02
3.34E-02	2.99E-02
3.87E-02	3.15E-02
4.56E-02	3.37E-02
5.09E-02	3.63E-02
5.41E-02	3.90E-02
5.89E-02	4.16E-02
6.26E-02	4.48E-02
6.79E-02	4.69E-02
7.43E-02	5.17E-02
7.85E-02	5.59E-02
8.28E-02	6.12E-02
8.65E-02	6.49E-02
8.97E-02	6.92E-02
9.28E-02	7.39E-02
9.44E-02	8.13E-02
9.39E-02	8.98E-02
9.28E-02	9.77E-02
9.02E-02	1.05E-01
8.91E-02	1.09E-01
8.54E-02	1.14E-01
8.28E-02	1.19E-01
8.06E-02	1.25E-01
7.64E-02	1.32E-01
7.43E-02	1.36E-01
7.21E-02	1.41E-01
6.95E-02	1.45E-01
6.68E-02	1.49E-01
6.31E-02	1.54E-01
